Source,Target,Weight
一秤金,如来佛祖,0.037037037037037035
一秤金,沙僧,0.07407407407407407
一秤金,灵感大王,0.1111111111111111
一秤金,猪八戒,0.25925925925925924
一秤金,陈关保,0.14814814814814814
一秤金,唐僧,0.07407407407407407
一秤金,陈澄,0.14814814814814814
一秤金,陈清,"0.14814814814814814
"
七政,诸天,0.14285714285714285
七政,太阴,0.14285714285714285
七政,太阳,0.14285714285714285
七政,孙悟空,0.14285714285714285
七政,可韩丈人真君,0.14285714285714285
七政,玉帝,0.14285714285714285
七政,二十八宿,"0.14285714285714285
"
七衣仙女,东方崇恩圣帝,0.034482758620689655
七衣仙女,仙翁,0.034482758620689655
七衣仙女,南极观音,0.034482758620689655
七衣仙女,十洲三岛仙翁,0.034482758620689655
七衣仙女,五方五老,0.034482758620689655
七衣仙女,三清,0.034482758620689655
七衣仙女,素衣仙女,0.034482758620689655
七衣仙女,青衣仙女,0.034482758620689655
七衣仙女,黄角大仙,0.034482758620689655
七衣仙女,五斗星君,0.034482758620689655
七衣仙女,红衣仙女,0.034482758620689655
七衣仙女,崇恩圣帝,0.034482758620689655
七衣仙女,北极玄灵,0.034482758620689655
七衣仙女,南方南极观音,0.034482758620689655
七衣仙女,四帝,0.034482758620689655
七衣仙女,王母,0.06896551724137931
七衣仙女,黄衣仙女,0.034482758620689655
七衣仙女,皂衣仙女,0.034482758620689655
七衣仙女,北方北极玄灵,0.034482758620689655
七衣仙女,中央黄极,0.034482758620689655
七衣仙女,孙悟空,0.06896551724137931
七衣仙女,观音菩萨,0.034482758620689655
七衣仙女,力士,0.034482758620689655
七衣仙女,玉帝,0.034482758620689655
七衣仙女,绿衣仙女,0.034482758620689655
七衣仙女,土地,0.034482758620689655
七衣仙女,紫衣仙女,"0.034482758620689655
"
万圣公主,神通广大,0.1
万圣公主,牛魔王,0.1
万圣公主,奔波儿灞,0.1
万圣公主,黑鱼精,0.1
万圣公主,孙悟空,0.1
万圣公主,九头驸马,0.1
万圣公主,鲇鱼怪,0.1
万圣公主,王母,0.1
万圣公主,万圣龙王,0.1
万圣公主,灞波儿奔,"0.1
"
万圣龙王,万圣公主,0.05263157894736842
万圣龙王,沙僧,0.05263157894736842
万圣龙王,九头驸马,0.15789473684210525
万圣龙王,猪八戒,0.10526315789473684
万圣龙王,鲇鱼怪,0.05263157894736842
万圣龙王,王母,0.10526315789473684
万圣龙王,灞波儿奔,0.05263157894736842
万圣龙王,神通广大,0.05263157894736842
万圣龙王,牛魔王,0.05263157894736842
万圣龙王,奔波儿灞,0.05263157894736842
万圣龙王,黑鱼精,0.05263157894736842
万圣龙王,孙悟空,0.10526315789473684
万圣龙王,唐僧,"0.10526315789473684
"
万岁狐王,神通广大,0.16666666666666666
万岁狐王,牛魔王,0.16666666666666666
万岁狐王,罗刹女,0.16666666666666666
万岁狐王,土地,0.16666666666666666
万岁狐王,猪八戒,0.16666666666666666
万岁狐王,玉面公主,"0.16666666666666666
"
三千揭谛,如来佛祖,0.12
三千揭谛,迦叶,0.02
三千揭谛,八部天龙,0.02
三千揭谛,金刚大士,0.02
三千揭谛,西天极乐诸菩萨,0.02
三千揭谛,四大金刚,0.02
三千揭谛,文殊菩萨,0.02
三千揭谛,猪八戒,0.04
三千揭谛,通臂猿猴,0.02
三千揭谛,四大菩萨,0.02
三千揭谛,六耳猕猴,0.02
三千揭谛,阿傩,0.04
三千揭谛,唐僧,0.06
三千揭谛,八宝金身,0.02
三千揭谛,净坛使者菩萨,0.02
三千揭谛,广力菩萨,0.02
三千揭谛,沙僧,0.04
三千揭谛,清净大海众菩萨,0.02
三千揭谛,五百阿罗,0.1
三千揭谛,普贤菩萨,0.02
三千揭谛,释迦牟尼,0.02
三千揭谛,赤尻马猴,0.02
三千揭谛,莲池海会佛菩萨,0.02
三千揭谛,灵明石猴,0.02
三千揭谛,蜜蜂,0.02
三千揭谛,孙悟空,0.08
三千揭谛,罗汉菩萨,0.02
三千揭谛,观音菩萨,0.04
三千揭谛,假悟空,0.02
三千揭谛,大势至菩萨,0.02
三千揭谛,无边无量,0.02
三千揭谛,比丘夷塞,"0.02
"
三官,如来佛祖,0.041666666666666664
三官,白龙马,0.041666666666666664
三官,哪吒,0.041666666666666664
三官,阿弥陀佛,0.041666666666666664
三官,右弼,0.041666666666666664
三官,沙僧,0.041666666666666664
三官,四海龙王,0.041666666666666664
三官,玉清元始天尊,0.041666666666666664
三官,雷公,0.041666666666666664
三官,太清道德天尊,0.041666666666666664
三官,猪八戒,0.08333333333333333
三官,圣婴大王,0.041666666666666664
三官,虎力大仙,0.041666666666666664
三官,风伯,0.041666666666666664
三官,左辅,0.041666666666666664
三官,上清灵宝天尊,0.041666666666666664
三官,电母,0.041666666666666664
三官,玉帝,0.041666666666666664
三官,云童,0.041666666666666664
三官,五斗星君,0.041666666666666664
三官,唐僧,0.08333333333333333
三官,红孩儿,"0.041666666666666664
"
三星,沙僧,0.034482758620689655
三星,禄星,0.06896551724137931
三星,菩提祖师,0.034482758620689655
三星,孙悟空,0.20689655172413793
三星,寿星,0.10344827586206896
三星,樵夫,0.034482758620689655
三星,猪八戒,0.06896551724137931
三星,八极,0.034482758620689655
三星,王母,0.034482758620689655
三星,唐僧,0.13793103448275862
三星,镇元子,0.13793103448275862
三星,福星,"0.10344827586206896
"
三清,如来佛祖,0.013888888888888888
三清,迦叶,0.013888888888888888
三清,东方崇恩圣帝,0.013888888888888888
三清,仙翁,0.013888888888888888
三清,南极观音,0.013888888888888888
三清,天佑,0.013888888888888888
三清,鹿力大仙,0.027777777777777776
三清,猪八戒,0.125
三清,十洲三岛仙翁,0.013888888888888888
三清,虎力大仙,0.027777777777777776
三清,五方五老,0.027777777777777776
三清,九曜星,0.013888888888888888
三清,素衣仙女,0.013888888888888888
三清,羊力大仙,0.027777777777777776
三清,青衣仙女,0.013888888888888888
三清,黄角大仙,0.013888888888888888
三清,五斗星君,0.013888888888888888
三清,唐僧,0.027777777777777776
三清,二十八宿,0.013888888888888888
三清,红衣仙女,0.013888888888888888
三清,崇恩圣帝,0.013888888888888888
三清,北极玄灵,0.013888888888888888
三清,南方南极观音,0.013888888888888888
三清,沙僧,0.08333333333333333
三清,东方朔,0.013888888888888888
三清,太上老君,0.027777777777777776
三清,四帝,0.041666666666666664
三清,天蓬,0.013888888888888888
三清,王母,0.013888888888888888
三清,黄衣仙女,0.013888888888888888
三清,十二元辰,0.013888888888888888
三清,皂衣仙女,0.013888888888888888
三清,中央黄极,0.013888888888888888
三清,北方北极玄灵,0.013888888888888888
三清,孙悟空,0.08333333333333333
三清,观音菩萨,0.013888888888888888
三清,七衣仙女,0.013888888888888888
三清,力士,0.013888888888888888
三清,玉帝,0.027777777777777776
三清,绿衣仙女,0.013888888888888888
三清,四大天王,0.013888888888888888
三清,土地,0.013888888888888888
三清,八极,0.013888888888888888
