Id,Source,Label
崇恩圣帝,崇恩圣帝,"东方崇恩圣帝
"
巡海夜叉,巡海夜叉,"猪八戒
"
左辅,左辅,"猪八戒
"
巨灵神,巨灵神,"猪八戒
"
巴山虎,巴山虎,"猪八戒
"
巽二郎,巽二郎,"猪八戒
"
布雾郎君,布雾郎君,"猪八戒
"
常光幢佛,常光幢佛,"观世灯佛
"
平天大圣,平天大圣,"牛魔王
"
平等王,平等王,"阎罗王
"
广主严佛,广主严佛,"世静光佛
"
广力菩萨,广力菩萨,"八宝金身
"
广智,广智,"广谋
"
广目天王,广目天王,"猪八戒
"
广谋,广谋,"广智
"
弥勒尊佛,弥勒尊佛,"宝幢王佛
"
徒劳龙,徒劳龙,"泾河龙王
"
御马监监丞,御马监监丞,"猪八戒
"
心月狐,心月狐,"太阴
"
快如风,快如风,"兴烘掀
"
急如火,急如火,"兴烘掀
"
恶乌龟,恶乌龟,"猪八戒
"
意见欲,意见欲,"耳听怒
"
慈力王佛,慈力王佛,"世静光佛
"
慧幢胜王佛,慧幢胜王佛,"观世灯佛
"
慧炬照佛,慧炬照佛,"善游步佛
"
房日兔,房日兔,"太阴
"
房玄龄,房玄龄,"房玄龄
"
才光佛,才光佛,"观世灯佛
"
才光明佛,才光明佛,"世静光佛
"
才功德佛,才功德佛,"善游步佛
"
打扫力士,打扫力士,"修桃力士
"
托塔天王,托塔天王,"猪八戒
"
抟象,抟象,"伏狸
"
抹蜡,抹蜡,"猪八戒
"
拂云叟,拂云叟,"凌空子
"
捧珠龙女,捧珠龙女,"猪八戒
"
掀烘兴,掀烘兴,"兴烘掀
"
接引佛祖,接引佛祖,"宝幢光王佛
"
接引归真佛,接引归真佛,"善游步佛
"
推云童子,推云童子,"猪八戒
"
摩尼幢佛,摩尼幢佛,"善游步佛
"
摩昂,摩昂,"猪八戒
"
敖广,敖广,"猪八戒
"
敖钦,敖钦,"猪八戒
"
敖闰,敖闰,"猪八戒
"
敖顺,敖顺,"猪八戒
"
敬仲龙,敬仲龙,"泾河龙王
"
文曲星,文曲星,"猪八戒
"
文殊菩萨,文殊菩萨,"八宝金身
"
斑衣鳜婆,斑衣鳜婆,"猪八戒
"
斗木獬,斗木獬,"太阴
"
旃檀光佛,旃檀光佛,"善游步佛
"
无边无量,无边无量,"八宝金身
"
无量寿佛,无量寿佛,"宝幢王佛
"
日月光佛,日月光佛,"世静光佛
"
日月珠光佛,日月珠光佛,"世静光佛
"
日游神,日游神,"猪八戒
"
明月,明月,"猪八戒
"
星日马,星日马,"太阴
"
春娇,春娇,"猪八戒
"
普贤菩萨,普贤菩萨,"八宝金身
"
智慧胜佛,智慧胜佛,"世静光佛
"
有来有去,有来有去,"猪八戒
"
木德星官,木德星官,"猪八戒
"
李世民,李世民,"猪八戒
"
李右衙,李右衙,"王左衙
"
李四,李四,"猪八戒
"
李定,李定,"猪八戒
"
李彪,李彪,"猪八戒
"
李淳风,李淳风,"房玄龄
"
李渊,李渊,"阎罗王
"
李玉英,李玉英,"房玄龄
"
李翠莲,李翠莲,"房玄龄
"
李长庚,李长庚,"猪八戒
"
李靖,李靖,"猪八戒
"
杏仙,杏仙,"凌空子
"
杏树,杏树,"凌空子
"
杜如晦,杜如晦,"房玄龄
"
杨戬二郎,杨戬二郎,"猪八戒
"
松树,松树,"猪八戒
"
枫树,枫树,"凌空子
"
柏树,柏树,"凌空子
"
柳土獐,柳土獐,"太阴
"
桃花女,桃花女,"鬼谷子
"
桧树,桧树,"凌空子
"
梅山六兄弟,梅山六兄弟,"猪八戒
"
楚江王,楚江王,"阎罗王
"
横行蟹士,横行蟹士,"黑甲将军
"
樵夫,樵夫,"猪八戒
"
武曲星,武曲星,"猪八戒
"
段志贤,段志贤,"房玄龄
"
殷开山,殷开山,"房玄龄
"
比丘夷塞,比丘夷塞,"八宝金身
"
比丘尼尊者,比丘尼尊者,"猪八戒
"
毕月乌,毕月乌,"太阴
"
毗卢尸佛,毗卢尸佛,"宝幢王佛
"
毗卢沙门,毗卢沙门,"猪八戒
"
毗蓝婆菩萨,毗蓝婆菩萨,"猪八戒
"
氐土貉,氐土貉,"太阴
"
水官,水官,"猪八戒
"
水母娘娘,水母娘娘,"猪八戒
"
水猿大圣,水猿大圣,"猪八戒
"
水神,水神,"猪八戒
"
永住金刚,永住金刚,"猪八戒
"
沙僧,沙僧,"猪八戒
"
法力无边,法力无边,"猪八戒
"
法明,法明,"猪八戒
"
法胜王佛,法胜王佛,"观世灯佛
"
泰山王,泰山王,"阎罗王
"
泼法金刚,泼法金刚,"猪八戒
"
泾河龙王,泾河龙王,"猪八戒
"
海德光明佛,海德光明佛,"世静光佛
"
混世魔王,混世魔王,"猪八戒
"
混天大圣,混天大圣,"牛魔王
"
清净喜佛,清净喜佛,"宝幢王佛
"
清净大海众菩萨,清净大海众菩萨,"八宝金身
"
清风,清风,"猪八戒
"
渔人,渔人,"猪八戒
"
满堂娇,满堂娇,"猪八戒
"
灞波儿奔,灞波儿奔,"猪八戒
"
火焰五光佛,火焰五光佛,"沙僧
"
灵吉菩萨,灵吉菩萨,"猪八戒
"
灵感大王,灵感大王,"猪八戒
"
灵明石猴,灵明石猴,"猪八戒
"
熊山君,熊山君,"老虎精
"
熊师,熊师,"猪八戒
"
熊罴精,熊罴精,"老虎精
"
燃灯上古佛,燃灯上古佛,"宝幢王佛
"
燃灯古佛,燃灯古佛,"猪八戒
"
牛蜢,牛蜢,"猪八戒
"
牛金牛,牛金牛,"太阴
"
牛魔王,牛魔王,"猪八戒
"
特处士,特处士,"熊山君
"
犀牛精,犀牛精,"猪八戒
"
狐阿七大王,狐阿七大王,"猪八戒
"
独角兕大王,独角兕大王,"猪八戒
"
独角鬼王,独角鬼王,"猪八戒
"
狮奴,狮奴,"猪八戒
"
狮猁王,狮猁王,"猪八戒
"
狮驼王,狮驼王,"牛魔王
"
狻猊,狻猊,"伏狸
"
猕猴王,猕猴王,"牛魔王
"
猪八戒,猪八戒,"猪八戒
"
猱狮,猱狮,"伏狸
"
猴精,猴精,"猪八戒
"
玄穹高上帝,玄穹高上帝,"高天上圣
"
玉兔,玉兔,"猪八戒
"
玉华王,玉华王,"猪八戒
"
玉女,玉女,"猪八戒
"
玉帝,玉帝,"猪八戒
"
玉清元始天尊,玉清元始天尊,"猪八戒
"
玉皇大天尊,玉皇大天尊,"高天上圣
"
玉面公主,玉面公主,"猪八戒
"
玉面狐狸,玉面狐狸,"猪八戒
"
玉面狸精,玉面狸精,"猪八戒
"
王小二,王小二,"猪八戒
"
王左衙,王左衙,"李右衙
"
王母,王母,"猪八戒
"
王灵官,王灵官,"猪八戒
"
王珪,王珪,"房玄龄
"
现无愚佛,现无愚佛,"善游步佛
"
班毛,班毛,"猪八戒
"
电母,电母,"猪八戒
"
癞头鼋,癞头鼋,"猪八戒
"
白泽,白泽,"伏狸
"
白花蛇怪,白花蛇怪,"猪八戒
"
白衣秀士,白衣秀士,"猪八戒
"
白象,白象,"猪八戒
"
白雄尊者,白雄尊者,"猪八戒
"
白面狐狸,白面狐狸,"猪八戒
"
白骨夫人,白骨夫人,"猪八戒
"
白鹦哥,白鹦哥,"猪八戒
"
白鹿,白鹿,"猪八戒
"
白龙马,白龙马,"猪八戒
"
皂衣仙女,皂衣仙女,"东方崇恩圣帝
"
直跳虾婆,直跳虾婆,"黑甲将军
"
相良,相良,"房玄龄
"
眼看喜,眼看喜,"耳听怒
"
社令,社令,"猪八戒
"
神通广大,神通广大,"猪八戒
"
禄星,禄星,"猪八戒
"
福星,福星,"猪八戒
"
秦叔宝,秦叔宝,"房玄龄
"
秦广王,秦广王,"阎罗王
"
秦琼,秦琼,"房玄龄
"
移山大圣,移山大圣,"牛魔王
"
程咬金,程咬金,"房玄龄
"
稳兽龙,稳兽龙,"泾河龙王
"
穿针儿,穿针儿,"寇铭
"
竹竿,竹竿,"猪八戒
"
箕水豹,箕水豹,"太阴
"
精细鬼,精细鬼,"猪八戒
"
精进善佛,精进善佛,"善游步佛
"
素衣仙女,素衣仙女,"东方崇恩圣帝
"
紫衣仙女,紫衣仙女,"东方崇恩圣帝
"
纠察灵官,纠察灵官,"猪八戒
"
红三,红三,"猪八戒
"
红孩儿,红孩儿,"猪八戒
"
红百万,红百万,"猪八戒
"
红眼马郎,红眼马郎,"黑甲将军
"
红衣仙女,红衣仙女,"东方崇恩圣帝
"
红鳞大蟒,红鳞大蟒,"猪八戒
"
绿衣仙女,绿衣仙女,"东方崇恩圣帝
"
罗刹女,罗刹女,"猪八戒
"
罗汉菩萨,罗汉菩萨,"八宝金身
"
羊力大仙,羊力大仙,"猪八戒
"
羚羊,羚羊,"猪八戒
"
翊圣真君,翊圣真君,"猪八戒
"
翼火蛇,翼火蛇,"太阴
"
老虎精,老虎精,"熊山君
"
耳听怒,耳听怒,"耳听怒
"
胃土彘,胃土彘,"太阴
"
胜至金刚,胜至金刚,"猪八戒
"
胡敬德,胡敬德,"房玄龄
"
腊梅,腊梅,"凌空子
"
舌尝思,舌尝思,"耳听怒
"
舍卫国赵长者,舍卫国赵长者,"猪八戒
"
艾叶,艾叶,"猪八戒
"
花皮豹子精,花皮豹子精,"猪八戒
"
荡魔天尊,荡魔天尊,"猪八戒
"
药叉将,药叉将,"猪八戒
"
药师琉璃光王佛,药师琉璃光王佛,"宝幢王佛
"
莲池海会佛菩萨,莲池海会佛菩萨,"八宝金身
"
菩提祖师,菩提祖师,"猪八戒
"
萧瑀,萧瑀,"房玄龄
"
葛仙翁,葛仙翁,"猪八戒
"
薛仁贵,薛仁贵,"房玄龄
"
虎先锋,虎先锋,"猪八戒
"
虎力大仙,虎力大仙,"猪八戒
"
虎将,虎将,"猪八戒
"
虎精,虎精,"猪八戒
"
虚日鼠,虚日鼠,"太阴
"
虞世南,虞世南,"房玄龄
"
蚂蜂,蚂蜂,"猪八戒
"
蛟魔王,蛟魔王,"牛魔王
"
蜃龙,蜃龙,"泾河龙王
"
蜈蚣精,蜈蚣精,"猪八戒
"
蜘蛛精,蜘蛛精,"猪八戒
"
蜜蜂,蜜蜂,"猪八戒
"
蜻蜓,蜻蜓,"猪八戒
"
蝎子精,蝎子精,"猪八戒
"
袁天罡,袁天罡,"房玄龄
"
袁守诚,袁守诚,"猪八戒
"
西天极乐诸菩萨,西天极乐诸菩萨,"八宝金身
"
西方太白,西方太白,"猪八戒
"
西海龙王,西海龙王,"猪八戒
"
观世灯佛,观世灯佛,"观世灯佛
"
观音菩萨,观音菩萨,"猪八戒
"
角木蛟,角木蛟,"太阴
"
觜火猴,觜火猴,"太阴
"
计都星,计都星,"猪八戒
"
许敬宗,许敬宗,"房玄龄
"
许旌阳,许旌阳,"猪八戒
"
诸天,诸天,"猪八戒
"
谛听,谛听,"猪八戒
"
贤善首佛,贤善首佛,"世静光佛
"
赛太岁,赛太岁,"猪八戒
"
赤尻马猴,赤尻马猴,"猪八戒
"
赤脚大仙,赤脚大仙,"猪八戒
"
赤身鬼使,赤身鬼使,"猪八戒
"
赤髯龙,赤髯龙,"泾河龙王
"
赵寡妇,赵寡妇,"猪八戒
"
身本忧,身本忧,"耳听怒
"
转轮王,转轮王,"阎罗王
"
轸水蚓,轸水蚓,"太阴
"
辟寒大王,辟寒大王,"猪八戒
"
辟尘大王,辟尘大王,"猪八戒
"
辟暑大王,辟暑大王,"猪八戒
"
过去未来现在佛,过去未来现在佛,"宝幢王佛
"
运水力士,运水力士,"修桃力士
"
迦叶,迦叶,"猪八戒
"
通臂猿猴,通臂猿猴,"猪八戒
"
通风大圣,通风大圣,"牛魔王
"
邓化,邓化,"猪八戒
"
那罗延佛,那罗延佛,"善游步佛
"
都市王,都市王,"阎罗王
"
释迦牟尼,释迦牟尼,"猪八戒
"
释迦牟尼佛,释迦牟尼佛,"猪八戒
"
野牛精,野牛精,"老虎精
"
金刚不坏佛,金刚不坏佛,"善游步佛
"
金刚大士,金刚大士,"八宝金身
"
金吒,金吒,"猪八戒
"
金圣皇后,金圣皇后,"猪八戒
"
金头揭谛,金头揭谛,"猪八戒
"
金毛犼,金毛犼,"猪八戒
"
金海光佛,金海光佛,"观世灯佛
"
金翅雕,金翅雕,"猪八戒
"
金衣力士,金衣力士,"猪八戒
"
金角大王,金角大王,"猪八戒
"
金顶大仙,金顶大仙,"猪八戒
"
金鱼,金鱼,"猪八戒
"
金鼻白毛老鼠精,金鼻白毛老鼠精,"地涌夫人
"
铁扇公主,铁扇公主,"猪八戒
"
铜台府刺史,铜台府刺史,"猪八戒
"
银头揭谛,银头揭谛,"太阴
"
银角大王,银角大王,"猪八戒
"
锄树力士,锄树力士,"修桃力士
"
镇元子,镇元子,"猪八戒
"
镇山太保,镇山太保,"猪八戒
"
镇殿将军,镇殿将军,"猪八戒
"
闪电娘子,闪电娘子,"猪八戒
"
阎罗王,阎罗王,"阎罗王
"
阿傩,阿傩,"猪八戒
"
阿弥陀佛,阿弥陀佛,"猪八戒
"
陈关保,陈关保,"猪八戒
"
陈清,陈清,"猪八戒
"
陈澄,陈澄,"猪八戒
"
陈萼,陈萼,"猪八戒
"
雪狮,雪狮,"伏狸
"
雷公,雷公,"猪八戒
"
雾里云,雾里云,"兴烘掀
"
青毛狮子,青毛狮子,"猪八戒
"
青毛狮子怪,青毛狮子怪,"猪八戒
"
青牛,青牛,"猪八戒
"
青背龙,青背龙,"泾河龙王
"
青脸儿,青脸儿,"伏狸
"
青衣仙女,青衣仙女,"东方崇恩圣帝
"
顺风耳,顺风耳,"高天上圣
"
须弥光佛,须弥光佛,"观世灯佛
"
风伯,风伯,"猪八戒
"
风婆婆,风婆婆,"猪八戒
"
马三宝,马三宝,"房玄龄
"
驱神大圣,驱神大圣,"牛魔王
"
高士廉,高士廉,"房玄龄
"
高天上圣,高天上圣,"高天上圣
"
高太公,高太公,"猪八戒
"
高才,高才,"猪八戒
"
鬼谷子,鬼谷子,"桃花女
"
鬼金羊,鬼金羊,"太阴
"
魏征,魏征,"房玄龄
"
鯾提督,鯾提督,"黑甲将军
"
鱑把总,鱑把总,"黑甲将军
"
鱼肚将,鱼肚将,"猪八戒
"
鲁班,鲁班,"猪八戒
"
鲇外郎,鲇外郎,"黑甲将军
"
鲇鱼怪,鲇鱼怪,"猪八戒
"
鲥军师,鲥军师,"猪八戒
"
鲨鱼,鲨鱼,"黑甲将军
"
鲭太尉,鲭太尉,"黑甲将军
"
鳜都司,鳜都司,"猪八戒
"
鳝力士,鳝力士,"猪八戒
"
鳠痴,鳠痴,"黑甲将军
"
鹏魔王,鹏魔王,"牛魔王
"
鹿力大仙,鹿力大仙,"猪八戒
"
黄毛貂鼠,黄毛貂鼠,"猪八戒
"
黄河水伯,黄河水伯,"猪八戒
"
黄狮,黄狮,"伏狸
"
黄眉童儿,黄眉童儿,"猪八戒
"
黄眉老佛,黄眉老佛,"猪八戒
"
黄花观观主,黄花观观主,"猪八戒
"
黄衣仙女,黄衣仙女,"东方崇恩圣帝
"
黄袍怪,黄袍怪,"猪八戒
"
黄角大仙,黄角大仙,"东方崇恩圣帝
"
黄风怪,黄风怪,"猪八戒
"
黎山老母,黎山老母,"猪八戒
"
黑大王,黑大王,"猪八戒
"
黑水河河神,黑水河河神,"猪八戒
"
黑熊精,黑熊精,"猪八戒
"
黑甲将军,黑甲将军,"黑甲将军
"
黑鱼精,黑鱼精,"猪八戒
"
鼋枢密,鼋枢密,"黑甲将军
"
鼍丞相,鼍丞相,"黑甲将军
"
鼍将,鼍将,"猪八戒
"
鼻嗅爱,鼻嗅爱,"耳听怒
"
龙女,龙女,"猪八戒
"
龙婆,龙婆,"猪八戒
"
龙尊王佛,龙尊王佛,"善游步佛
"
